mag_code,MAG,Diferencias
L_1,Sporolactobacillaceae (a),A
L_3,Domibacillaceae,A
L_2,Paenibacillaceae,A
LW_16,UMGS416,A
LW_7,SZUA-584,A
LW_3,Latescibacterales,A
LW_1,GWA1-39-11,A
LW_12,Alkalibacteraceae,A
LW_13,Balneolaceae (b),A
P_8,RKRQ02 (b),B
C_9,JABDQX01,B
C_4,Micropepsaceae,B
C_10,UBA5704 (b),B
CW_1,Woeseiaceae (a),B
CW_10,UBA6522 (c),B
CW_8,UBA6522 (b),B
CW_5,UBA6522 (a),B
C_14,UBA5704 (c),B
CW_3,Nitrososphaeraceae (b),B
CW_7,E44-bin32 (b),B
CW_6,Methyloligellaceae,B
CW_14,GWC2-71-9,B
CW_11,UBA6522 (d),B
CW_2,Nitrososphaeraceae (a),B
CW_12,UBA4486,B
L_9,Rhodobacteraceae,C
L_8,Streptomycetaceae,C
LW_5,Cyclobacteriaceae,C
L_7,Flavobacteriaceae,C
L_11,Cellulomonadaceae,C
L_6,SM23-39,C
L_4,Sporolactobacillaceae (b),C
LW_4,Bacillaceae_C,C
L_14,Planctomycetaceae,C
LW_9,QNYZ01,D
LW_10,UBA6522 (e),D
P_11,SG8-13 (b),D
P_4,SG8-13 (a),D
LW_15,Desulfobacterales,D
LW_14,Promineofilaceae (b),D
CW_13,JACQBZ02,E
CW_9,SG8-38,E
C_12,Balneolaceae (a),E
L_12,CECT-8803,E
LW_6,Lacipirellulaceae,E
C_11,Pseudonocardiaceae,E
P_5,HXMU1428-3,E
PW_1,70-9 (a),E
C_13,Promineofilaceae (a),E
L_13,UBA8139,E
L_10,RKRQ01,E
C_5,SZUA-232,E
C_15,J153,E
CW_4,RKRQ02 (a),E
C_1,UBA5704 (a),E
P_3,JAENVV01,E
P_10,Halobacteriales (b),E
P_7,SG8-41,E
P_1,Halobacteriales (a),E
C_6,Nitriliruptoraceae,F
C_2,HGW-15,F
C_3,ZC4RG35 (a),F
C_16,ZC4RG35 (b),F
C_7,E44-bin32 (a),F
P_2,Hyphomicrobiaceae,F
P_9,Woeseiaceae (b),F
PW_2,70-9 (b),F
LW_11,UBA11606,F
C_8,SZUA-229,F
P_6,RKSH01,F
LW_8,JAFGWO01,F
L_5,Jiangellales,F
LW_17,Anaerolineaceae,F
LW_2,DSSB01,F
