MAG	Diferencias
Sporolactobacillaceae (a)	A
Domibacillaceae	A
Paenibacillaceae	A
UMGS416	A
SZUA-584	A
Latescibacterales	A
GWA1-39-11	A
Alkalibacteraceae	A
Balneolaceae (b)	A
RKRQ02 (b)	B
JABDQX01	B
Micropepsaceae	B
UBA5704 (b)	B
Woeseiaceae (a)	B
UBA6522 (c)	B
UBA6522 (b)	B
UBA6522 (a)	B
UBA5704 (c)	B
Nitrososphaeraceae (b)	B
E44-bin32 (b)	B
Methyloligellaceae	B
GWC2-71-9	B
UBA6522 (d)	B
Nitrososphaeraceae (a)	B
UBA4486	B
Rhodobacteraceae	C
Streptomycetaceae	C
Cyclobacteriaceae	C
Flavobacteriaceae	C
Cellulomonadaceae	C
SM23-39	C
Sporolactobacillaceae (b)	C
Bacillaceae_C	C
Planctomycetaceae	C
QNYZ01	D
UBA6522 (e)	D
SG8-13 (b)	D
SG8-13 (a)	D
Desulfobacterales	D
Promineofilaceae (b)	D
JACQBZ02	E
SG8-38	E
Balneolaceae (a)	E
CECT-8803	E
Lacipirellulaceae	E
Pseudonocardiaceae	E
HXMU1428-3	E
70-9 (a)	E
Promineofilaceae (a)	E
UBA8139	E
RKRQ01	E
SZUA-232	E
J153	E
RKRQ02 (a)	E
UBA5704 (a)	E
JAENVV01	E
Halobacteriales (b)	E
SG8-41	E
Halobacteriales (a)	E
Nitriliruptoraceae	F
HGW-15	F
ZC4RG35 (a)	F
ZC4RG35 (b)	F
E44-bin32 (a)	F
Hyphomicrobiaceae	F
Woeseiaceae (b)	F
70-9 (b)	F
UBA11606	F
SZUA-229	F
RKSH01	F
JAFGWO01	F
Jiangellales	F
Anaerolineaceae	F
DSSB01	F
